                  0(0),       2(1),      1(2),     3(3),      4(4),      6(5),      7(6),     8(7),     10(8),      11(9),     9(10),     5(11),    12(12),   15(13),    16(14),     18(15),   19(16),    20(17),    22(18),    23(19),    24(20),    21(21),    14(22),    32(23),    33(24),    17(25),    30(26),    31(27),    13(28),    25(29),     26(30),    27(31),    28(32),    29(33),
                     ,          a,         n,       ssa,       sta,       lla,       lta,      lle,       ksi,        tta,        na,         n,         t,     issa,      ista,       illa,     ilta,      ille,      iksi,      itta,        in,       ina,         a,        ja,       ita,        in,        in,      ihin,        en,        en,       iden,     itten,        in,       ten,
                  ilo,       iloa,      ilon,    ilossa,    ilosta,    ilolla,    ilolta,   ilolle,    iloksi,     ilotta,     ilona,     iloon,      ilot,  iloissa,   iloista,    iloilla,  iloilta,   iloille,   iloiksi,   iloitta,     iloin,    iloina,     omenia ,     iloja,  omenoita,   omeniin,     uniin,   iloihin,    ilojen,    ilojen,  omenoiden,omenoitten,  ulappain,     unten,
               NNomSg,     NParSg,    NGenSg,    NIneSg,    NElaSg,    NAdeSg,    NAblSg,   NAllSg,    NTraSg,     NAbeSg,    NEssSg,    NIllSg,    NNomPl,   NInePl,    NElaPl,     NAdePl,   NAblPl,    NAllPl,    NTraPl,    NAbePl,    NInsPl,    NEssPl,    NParPl,    NParPl,    NParPl,    NIllPl,    NIllPl,    NIllPl,    NGenPl,    NGenPl,     NGenPl,    NGenPl,    NGenPl,    NGenPl,
1     ukko,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,         *,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,         !,         ,         !,         !,         !,          ,         j,         !,         !,         !,         !,         !,
2    hiomo,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,         *,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,         !,         ,         ,         !,         !,          ,         j,          !,          ,          ,         !,         !,
3     avio,          ,         t,          ,          ,          ,          ,          ,          ,          ,          ,          ,         *,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,         !,         !,         ,         !,         !,          ,         !,         !,          ,          ,         !,         !,
4   elikko,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,         *,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,         !,          ,         ,         !,        ih,          ,         j,         !,          ,          ,         !,         !,
5    häkki,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,         *,          ,        e-,        e-,        e-,        e-,        e-,        e-,        e-,        e-,        e-,         !,         e-,         !,         !,         !,        e-,          ,         !,         !,         !,         !,         !,
6   seteli,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,         *,          ,        e-,        e-,        e-,        e-,        e-,        e-,        e-,        e-,        e-,         !,        e-,        e-,         !,         !,        e-,          ,         !,        e-,        e-,         !,         !,
7   kaikki,          ,        e-,        e-,        e-,        e-,        e-,        e-,        e-,        e-,        e-,        e-,       ee-,        e-,         -,         -,         -,         -,         -,         -,         -,         -,         -,          ,         !,         !,          ,         !,         !,          ,         !,         !,         !,         !,         !,
8    nukke,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,         *,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,         !,          ,         !,         !,         !,          ,         j/i-,      !,         !,         !,          ,         !,
9    ankka,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,         *,          ,        o-,        o-,        o-,        o-,        o-,        o-,        o-,        o-,        o-,         !,         o-,         ! ,        !,         !,        o-,       oj-,         !,         !,         !,          ,         !,
10    fokka,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,         *,          ,         -,         -,         -,         -,         -,         -,         -,         -,         -,        i-,        !,         !,        i-,         !,         !,        i-,         !,         !,         !,          ,         !,
11    itara,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,         *,          ,      -/o-,      -/o-,      -/o-,      -/o-,      -/o-,      -/o-,      -/o-,      -/o-,      -/o-,        i-,       o-,        o-,        i-,         !,        o-,        i-,       oj-,        o-,        o-,          ,         !,
